year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3,Sentinel-6MF
1992.9614,-14.72,,,,
1992.9865,-19.32,,,,
1993.0123,-22.12,,,,
1993.0406,-23.42,,,,
1993.0641,-24.72,,,,
1993.0975,-25.02,,,,
1993.1206,-24.52,,,,
1993.1493,-23.82,,,,
1993.1765,-24.02,,,,
1993.2037,-23.62,,,,
1993.2308,-24.42,,,,
1993.2851,-24.72,,,,
1993.3123,-22.32,,,,
1993.3394,-24.12,,,,
1993.3665,-26.22,,,,
1993.3937,-26.12,,,,
1993.4208,-25.92,,,,
1993.448,-24.52,,,,
1993.4741,-22.22,,,,
1993.5023,-22.32,,,,
1993.5294,-22.62,,,,
1993.5837,-22.42,,,,
1993.6117,-21.02,,,,
1993.6381,-17.22,,,,
1993.6652,-15.32,,,,
1993.6924,-16.22,,,,
1993.7189,-17.02,,,,
1993.7466,-13.22,,,,
1993.7738,-7.32,,,,
1993.8009,-9.02,,,,
1993.8553,-11.62,,,,
1993.8824,-13.22,,,,
1993.9097,-13.42,,,,
1993.9367,-11.12,,,,
1993.9638,-7.92,,,,
1993.9907,-12.02,,,,
1994.0181,-17.52,,,,
1994.0452,-15.72,,,,
1994.0723,-15.02,,,,
1994.0995,-19.52,,,,
1994.1267,-21.92,,,,
1994.1538,-20.52,,,,
1994.1809,-17.62,,,,
1994.2353,-16.32,,,,
1994.2624,-17.32,,,,
1994.2896,-17.22,,,,
1994.3168,-18.52,,,,
1994.3439,-20.22,,,,
1994.371,-22.42,,,,
1994.3982,-22.92,,,,
1994.4253,-21.62,,,,
1994.4524,-19.22,,,,
1994.5068,-23.52,,,,
1994.5339,-20.32,,,,
1994.5611,-19.82,,,,
1994.5882,-16.62,,,,
1994.6154,-15.62,,,,
1994.6425,-14.42,,,,
1994.6697,-13.02,,,,
1994.6968,-10.42,,,,
1994.724,-9.12,,,,
1994.751,-6.72,,,,
1994.7781,-5.82,,,,
1994.8054,-4.62,,,,
1994.8325,-4.02,,,,
1994.8869,-8.02,,,,
1994.914,-10.22,,,,
1994.9412,-6.22,,,,
1994.9684,-5.42,,,,
1994.9955,-7.62,,,,
1995.0226,-8.92,,,,
1995.0497,-11.02,,,,
1995.0769,-7.52,,,,
1995.104,-12.22,,,,
1995.1312,-16.42,,,,
1995.1583,-13.02,,,,
1995.2126,-10.52,,,,
1995.2398,-16.02,,,,
1995.2669,-13.92,,,,
1995.2941,-13.22,,,,
1995.3212,-13.92,,,,
1995.3755,-15.62,,,,
1995.4028,-15.42,,,,
1995.4299,-13.52,,,,
1995.457,-14.92,,,,
1995.484,-17.12,,,,
1995.5384,-18.12,,,,
1995.5655,-15.42,,,,
1995.5927,-14.52,,,,
1995.6199,-10.92,,,,
1995.647,-9.92,,,,
1995.674,-8.22,,,,
1995.7013,-3.02,,,,
1995.7285,3.78,,,,
1995.7556,-0.52,,,,
1995.7827,-1.62,,,,
1995.8371,0.38,,,,
1995.8643,-1.32,,,,
1995.89,2.18,,,,
1995.9456,-1.92,,,,
1995.9727,-0.02,,,,
1996.0001,-3.32,,,,
1996.0269,-6.92,,,,
1996.0536,-10.42,,,,
1996.0814,-10.82,,,,
1996.1084,-8.82,,,,
1996.1632,-8.42,,,,
1996.1899,-12.32,,,,
1996.216,-11.32,,,,
1996.2443,-11.02,,,,
1996.2714,-12.82,,,,
1996.2986,-12.82,,,,
1996.3257,-12.02,,,,
1996.3529,-8.82,,,,
1996.38,-10.62,,,,
1996.4071,-9.92,,,,
1996.4343,-13.52,,,,
