,year,SeaLevel,average,moon_phase_sin,moon_phase_cos,actual_year,month,month_sin,month_cos,Temperature,moon_phase
0,1992.9614,-14.72,357.21,0.066676095,-0.997774673,1992,12,-2.45E-16,1,0.22,14.4514
1,1992.9865,-19.32,357.21,0.061346453,-0.998116533,1992,12,-2.45E-16,1,0.22,14.4765
2,1993.0123,-22.12,357.21,0.055866354,-0.998438256,1993,1,0.5,0.866025404,0.34,14.5023
3,1993.0406,-23.42,357.21,0.049853307,-0.998756551,1993,1,0.5,0.866025404,0.34,14.5306
4,1993.0641,-24.72,357.3005301,0.044858757,-0.998993339,1993,1,0.5,0.866025404,0.34,14.5541
5,1993.0975,-25.02,357.4373494,0.037758222,-0.999286904,1993,2,0.866025404,0.5,0.37,14.5875
6,1993.1206,-24.52,357.5319759,0.032846235,-0.999460417,1993,2,0.866025404,0.5,0.37,14.6106
7,1993.1493,-23.82,357.6700361,0.026742372,-0.999642359,1993,2,0.866025404,0.5,0.37,14.6393
8,1993.1765,-24.02,357.8043976,0.020956602,-0.999780386,1993,3,1,6.12E-17,0.36,14.6665
9,1993.2037,-23.62,357.938759,0.01517013,-0.999884927,1993,3,1,6.12E-17,0.36,14.6937
10,1993.2308,-24.42,358.0875714,0.009404426,-0.999955777,1993,3,1,6.12E-17,0.36,14.7208
11,1993.2851,-24.72,358.3913929,-0.002149005,-0.999997691,1993,4,0.866025404,-0.5,0.27,14.7751
12,1993.3123,-22.32,358.4177711,-0.007936348,-0.999968507,1993,4,0.866025404,-0.5,0.27,14.8023
13,1993.3394,-24.12,358.4014458,-0.013702149,-0.999906121,1993,5,0.5,-0.866025404,0.28,14.8294
14,1993.3665,-26.22,358.3851205,-0.019467495,-0.99981049,1993,5,0.5,-0.866025404,0.28,14.8565
15,1993.3937,-26.12,358.1456867,-0.025253465,-0.99968108,1993,5,0.5,-0.866025404,0.28,14.8837
16,1993.4208,-25.92,357.8061205,-0.031017321,-0.999518847,1993,6,1.22E-16,-1,0.23,14.9108
17,1993.448,-24.52,357.4653012,-0.036801409,-0.999322599,1993,6,1.22E-16,-1,0.23,14.938
18,1993.4741,-22.22,357.0295,-0.042350425,-0.999102818,1993,6,1.22E-16,-1,0.23,14.9641
19,1993.5023,-22.32,356.4856429,-0.048344441,-0.998830724,1993,7,-0.5,-0.866025404,0.25,14.9923
20,1993.5294,-22.62,355.963,-0.05410301,-0.99853536,1993,7,-0.5,-0.866025404,0.25,15.0194
21,1993.5837,-22.42,355.0769157,-0.065635792,-0.997843646,1993,8,-0.866025404,-0.5,0.11,15.0737
22,1993.6117,-21.02,354.6451084,-0.071579388,-0.997434906,1993,8,-0.866025404,-0.5,0.11,15.1017
23,1993.6381,-17.22,354.4447349,-0.077181026,-0.997017096,1993,8,-0.866025404,-0.5,0.11,15.1281
24,1993.6652,-15.32,354.4545301,-0.082928659,-0.996555486,1993,8,-0.866025404,-0.5,0.11,15.1552
25,1993.6924,-16.22,354.4643614,-0.088694727,-0.996058856,1993,9,-1,-1.84E-16,0.11,15.1824
26,1993.7189,-17.02,354.6296071,-0.094309549,-0.995542922,1993,9,-1,-1.84E-16,0.11,15.2089
27,1993.7466,-13.22,355.0352143,-0.100175418,-0.994969791,1993,9,-1,-1.84E-16,0.11,15.2366
28,1993.7738,-7.32,355.4335,-0.105932021,-0.994373374,1993,10,-0.866025404,0.5,0.23,15.2638
29,1993.8009,-9.02,355.8340361,-0.111663931,-0.993746027,1993,10,-0.866025404,0.5,0.23,15.2909
30,1993.8553,-11.62,356.6533133,-0.123158654,-0.992386994,1993,11,-0.5,0.866025404,0.03,15.3453
31,1993.8824,-13.22,357.030241,-0.128878824,-0.991660349,1993,11,-0.5,0.866025404,0.03,15.3724
32,1993.9097,-13.42,357.3262651,-0.134636877,-0.990895005,1993,11,-0.5,0.866025404,0.03,15.3997
33,1993.9367,-11.12,357.6190361,-0.140327186,-0.990105187,1993,12,-2.45E-16,1,0.18,15.4267
34,1993.9638,-7.92,357.8928095,-0.146033914,-0.989279584,1993,12,-2.45E-16,1,0.18,15.4538
35,1993.9907,-12.02,358.0913571,-0.151693724,-0.988427546,1993,12,-2.45E-16,1,0.18,15.4807
36,1994.0181,-17.52,358.2935952,-0.157453625,-0.987526382,1994,1,0.5,0.866025404,0.26,15.5081
37,1994.0452,-15.72,358.4908193,-0.163145199,-0.98660207,1994,1,0.5,0.866025404,0.26,15.5352
38,1994.0723,-15.02,358.6671325,-0.168831348,-0.985644954,1994,1,0.5,0.866025404,0.26,15.5623
39,1994.0995,-19.52,358.8440964,-0.174532834,-0.984651354,1994,2,0.866025404,0.5,0.02,15.5895
40,1994.1267,-21.92,359.0171687,-0.180228474,-0.983624775,1994,2,0.866025404,0.5,0.02,15.6167
